19:45, Thursday, January 17, 2019
Study name:Static 1 Filled Tension
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
30764  ,488.027  ,2.5  ,450.352  ,2.86728e-004
30916  ,500  ,2.5  ,-265.093  ,2.86695e-004
31223  ,500  ,-2.5  ,265.093  ,2.86695e-004
31214  ,500  ,5.58794e-008  ,265.093  ,2.86686e-004
31057  ,500  ,5.58794e-008  ,-265.093  ,2.86685e-004
30802  ,500  ,2.5  ,265.093  ,2.86678e-004
2917  ,484.844  ,-2.5  ,-490.508  ,2.86677e-004
31064  ,500  ,-2.5  ,-265.093  ,2.86676e-004
488  ,484.844  ,2.5  ,490.508  ,2.86669e-004
31253  ,492.422  ,-2.5  ,379.271  ,2.86589e-004
30781  ,492.422  ,0  ,379.271  ,2.86580e-004
30939  ,492.422  ,2.5  ,-379.271  ,2.86578e-004
31031  ,492.422  ,0  ,-379.271  ,2.86578e-004
31009  ,488.027  ,-2.5  ,-440.533  ,2.86542e-004
298  ,500  ,2.5  ,-255.275  ,2.86534e-004
241  ,500  ,-2.5  ,255.275  ,2.86534e-004
30769  ,488.027  ,2.5  ,440.533  ,2.86526e-004
31215  ,500  ,5.58794e-008  ,255.275  ,2.86526e-004
31063  ,500  ,5.58794e-008  ,-255.275  ,2.86525e-004
324  ,500  ,2.5  ,255.275  ,2.86517e-004
267  ,500  ,-2.5  ,-255.275  ,2.86516e-004
29954  ,484.069  ,0  ,491.191  ,2.86474e-004
29815  ,484.069  ,0  ,-491.191  ,2.86472e-004
13032  ,484.479  ,-2.5  ,-484.078  ,2.86433e-004
29959  ,484.48  ,2.5  ,484.075  ,2.86425e-004
30911  ,500  ,2.5  ,-245.457  ,2.86380e-004
31216  ,500  ,-2.5  ,245.457  ,2.86377e-004
31062  ,500  ,5.58794e-008  ,-245.457  ,2.86370e-004
31206  ,500  ,5.58794e-008  ,245.457  ,2.86369e-004
30806  ,500  ,2.5  ,245.457  ,2.86361e-004
31070  ,500  ,-2.5  ,-245.457  ,2.86359e-004
31008  ,488.027  ,-2.5  ,-430.533  ,2.86338e-004
12976  ,484.041  ,-2.5  ,484.452  ,2.86332e-004
29839  ,484.051  ,2.5  ,-484.447  ,2.86323e-004
30768  ,488.027  ,2.5  ,430.533  ,2.86322e-004
2941  ,483.294  ,-2.5  ,491.875  ,2.86278e-004
512  ,483.294  ,2.5  ,-491.875  ,2.86267e-004
299  ,500  ,2.5  ,-235.639  ,2.86230e-004
242  ,500  ,-2.5  ,235.639  ,2.86225e-004
30731  ,482.891  ,-2.5  ,-495.254  ,2.86220e-004
31069  ,500  ,5.58794e-008  ,-235.639  ,2.86218e-004
31207  ,500  ,5.58794e-008  ,235.639  ,2.86217e-004
31486  ,482.891  ,2.5  ,495.254  ,2.86214e-004
323  ,500  ,2.5  ,235.639  ,2.86209e-004
266  ,500  ,-2.5  ,-235.639  ,2.86206e-004
2918  ,484.114  ,-2.5  ,-477.648  ,2.86191e-004
489  ,484.116  ,2.5  ,477.642  ,2.86183e-004
13027  ,484.479  ,-2.5  ,-471.548  ,2.86167e-004
2944  ,484.844  ,-2.5  ,465.448  ,2.86163e-004
