19:54, Thursday, January 17, 2019
Study name:Static 2 Filled Compression
Units: N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
183  ,-1.98643e+004  ,3.13861e-001  ,5.88265e+000  ,3.09640e-001  ,-6.88758e+000  ,8.53056e-001
184  ,-1.98478e+004  ,-4.50866e-001  ,3.47445e+000  ,4.78440e+000  ,-9.15278e+000  ,-1.76502e+000
185  ,-1.98293e+004  ,1.17928e-001  ,3.94924e-002  ,1.54277e-001  ,-1.43598e+000  ,4.76404e-002
186  ,-1.97757e+004  ,1.96099e-001  ,1.25296e+000  ,-4.49734e+000  ,1.16897e+001  ,2.48869e+000
187  ,-1.97052e+004  ,1.91817e+000  ,1.91289e+000  ,-9.41138e-001  ,1.58228e+001  ,-2.45933e+000
188  ,-1.96160e+004  ,6.07520e-001  ,-1.28243e+001  ,-1.41223e+001  ,2.00728e+001  ,3.79932e+000
189  ,-1.95169e+004  ,8.22171e-001  ,3.01360e+000  ,7.69737e+000  ,-1.09884e+001  ,4.25369e-001
190  ,-1.95052e+004  ,-4.52948e-003  ,2.25211e+001  ,1.52045e+001  ,-4.50588e+001  ,-5.45325e+000
191  ,-1.95595e+004  ,-5.60247e+000  ,5.08201e+000  ,9.37166e+000  ,-2.68397e+001  ,-1.04106e+000
192  ,-1.95140e+004  ,-7.21304e-001  ,-1.52487e+001  ,-7.97529e+000  ,1.30660e+001  ,7.58594e+000
193  ,-1.93786e+004  ,2.15464e+000  ,-1.03375e+001  ,-3.31570e+000  ,1.76180e+001  ,1.71289e+000
194  ,-1.92992e+004  ,-8.79085e-001  ,-4.51478e+000  ,-1.98882e+000  ,3.47341e+000  ,2.28531e-001
195  ,-1.92246e+004  ,-3.87202e-001  ,1.03774e+000  ,-2.70344e-001  ,-1.67834e+000  ,8.50177e-001
196  ,-1.91699e+004  ,7.62295e-001  ,-7.85842e-001  ,2.64891e+000  ,-1.49575e+000  ,2.22147e-001
197  ,-1.91141e+004  ,9.15311e-001  ,-6.38822e+000  ,-8.94794e-001  ,-1.37163e+000  ,-1.15592e+000
198  ,-1.90365e+004  ,2.85979e-001  ,-6.85252e+000  ,1.06886e+000  ,-3.95812e+000  ,2.89917e-001
199  ,-1.89779e+004  ,-1.44564e+000  ,-8.56013e+000  ,1.84614e+000  ,-8.83945e+000  ,1.31461e+000
200  ,-1.89123e+004  ,5.05076e-001  ,-5.29753e+000  ,1.22568e+000  ,-5.63436e+000  ,-1.23422e+000
201  ,-1.88356e+004  ,-4.39892e-001  ,-2.34262e+000  ,-3.76793e-002  ,-3.26110e+000  ,-2.83913e-001
202  ,-1.87671e+004  ,1.49602e-001  ,3.73005e+000  ,2.31195e+000  ,-4.58943e+000  ,-1.35062e+000
203  ,-1.87138e+004  ,-1.14942e+000  ,-1.08860e+000  ,-3.55215e+000  ,1.21163e+000  ,1.28824e+000
