19:59, Thursday, January 17, 2019
Study name:Static 3 Filled Torsion
Units: N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
198  ,1.27741e+007  ,4.88022e+004  ,2.51942e+003  ,-7.55576e+005  ,4.59376e+005  ,-2.08821e+004
199  ,1.34065e+007  ,4.47467e+004  ,2.49081e+004  ,-7.21466e+005  ,4.17675e+005  ,-2.56676e+004
200  ,1.39193e+007  ,4.06913e+004  ,2.83527e+004  ,-7.11178e+005  ,3.63937e+005  ,-2.10740e+004
201  ,1.43602e+007  ,5.29432e+004  ,1.49249e+004  ,-7.58250e+005  ,3.20246e+005  ,-1.00135e+004
202  ,1.48998e+007  ,4.24305e+004  ,2.11740e+003  ,-7.30831e+005  ,2.71016e+005  ,-1.58510e+004
203  ,1.54118e+007  ,3.87129e+004  ,6.04610e+004  ,-7.44253e+005  ,2.07626e+005  ,-3.48042e+004
204  ,1.58628e+007  ,1.81109e+004  ,1.14926e+005  ,-6.83207e+005  ,1.43367e+005  ,-3.29201e+004
205  ,1.63713e+007  ,1.77426e+004  ,1.13968e+005  ,-6.57752e+005  ,6.53132e+004  ,-3.29297e+004
206  ,1.68298e+007  ,1.38734e+004  ,1.01387e+005  ,-6.28846e+005  ,-1.38228e+004  ,-2.62654e+004
207  ,1.73056e+007  ,8.25681e+003  ,1.00158e+005  ,-5.94964e+005  ,-9.92639e+004  ,-2.41695e+004
